date,item_nbr,unit_sales,price
2000-01-01,0,86,5.8604651162790695
2000-01-02,0,81,5.9753086419753085
2000-01-03,0,90,5.633333333333334
2000-01-04,0,72,6.666666666666667
2000-01-05,0,72,7.527777777777778
2000-01-06,0,83,5.614457831325301
2000-01-07,0,69,6.72463768115942
2000-01-08,0,70,6.785714285714286
2000-01-09,0,84,5.654761904761905
2000-01-10,0,82,5.975609756097561
2000-01-11,0,82,5.719512195121951
2000-01-12,0,73,6.835616438356165
2000-01-13,0,69,7.3768115942028984
2000-01-14,0,71,6.943661971830986
2000-01-15,0,69,6.608695652173913
2000-01-16,0,89,5.573033707865169
2000-01-17,0,84,5.5
2000-01-18,0,80,6.625
2000-01-19,0,90,5.277777777777778
2000-01-20,0,78,6.294871794871795
2000-01-21,0,71,6.943661971830986
2000-01-22,0,91,6.010989010989011
2000-01-23,0,68,7.352941176470588
2000-01-24,0,73,6.589041095890411
2000-01-25,0,81,6.765432098765432
2000-01-26,0,87,6.068965517241379
2000-01-27,0,70,7.8
2000-01-28,0,73,7.4520547945205475
2000-01-29,0,81,5.604938271604938
2000-01-30,0,71,7.366197183098592
2000-01-31,0,19,24.63157894736842
2000-02-01,0,18,29.833333333333332
2000-02-02,0,19,25.894736842105264
2000-02-03,0,20,27.4
2000-02-04,0,18,28.72222222222222
2000-02-05,0,21,22.428571428571427
2000-02-06,0,20,24.65
2000-02-07,0,18,26.88888888888889
2000-02-08,0,19,26.263157894736842
2000-02-09,0,18,29.833333333333332
2000-02-10,0,21,22.904761904761905
2000-02-11,0,21,21.666666666666668
2000-02-12,0,19,26.157894736842106
2000-02-13,0,18,25.055555555555557
2000-02-14,0,21,22.904761904761905
2000-02-15,0,19,25.31578947368421
2000-02-16,0,20,24.45
2000-02-17,0,20,26.15
2000-02-18,0,19,23.94736842105263
2000-02-19,0,19,28.210526315789473
2000-02-20,0,19,24.57894736842105
2000-02-21,0,18,27.055555555555557
2000-02-22,0,18,25.444444444444443
2000-02-23,0,20,25.9
2000-02-24,0,18,28.27777777777778
2000-02-25,0,19,24.68421052631579
2000-02-26,0,21,23.523809523809526
2000-02-27,0,21,22.38095238095238
2000-02-28,0,18,30.555555555555557
2000-02-29,0,20,27.1
2000-03-01,0,21,22.428571428571427
2000-03-02,0,18,28.666666666666668
